MonuNum,Run_no,MonuNm,Type,Comp_sheet,TOPO,Gauss_Lo,LO,Y_Gauss,Y_LO,X_Gauss,X_LO,MSL_Hgt,H_acc,LatCD,LonCD,P_acc,CM_UTM,UTMCM,E_UTM,Y_UTM,N_UTM,X_UTM,Lat_WGS84,Lon_WGS84,P84_acc,EllpHgt,H84_acc,Geoid_Sep,Src_Geoid,PedHgt,PillHgt,TopSignal,BotSignal,Establ,Date_Revisions,Observed,Computed,Last_insp,Destroy,DegSqr,Invest,Check,Remark,Intervisibility,AREA_NM,Township,Reported_by
1/NRT,, Westlands,TERT,PP3812,1528A4,29,,75743.4,,1687544.99,,1241.2,,151529.916,281741.704,,27,,639058.06,,8312839.04,,0,0,,0,,,,,,,,,,,,,,1528,False,False,,,Zambia,,
1/P,,Gasikani,PRIM,TS0404,1730A1,31,,82173.34,,1894016.19,,1470.1,,170726.028,301340.239,,33,,205014.96,,8104802.06,,0,0,,0,,,,0.15,1.2,0.895,0.438,,,,,1990-09-04 00:00:00,,1730,False,False,SEC Signal,,Lions Den,,
1/Q,,D.R.Church,QUART,TR9227,1731C3,31,,-4832.85,,1971620.31,,1500.5,,174935.802,310244.118,,33,,292862.04,,8028087.1,,0,0,,0,,,,,,,,,,,,,,1731,False,False,Centre of ball,,Harare,,
1/S,,Iron Mask,SEC,TR9874,1731A3,31,,-10668.8,,1924967.35,,1614.1,,172418.115,310601.461,,33,,298205.3,,8074804.55,,0,0,,0,,,,0.15,1.2,0.898,0.444,,,,,1995-04-06 00:00:00,,1731,False,False,,,Glendale,,
10/NRT,,Olympia,TERT,PN4098,1528A4,29,,74175.62,,1702206.59,,1282.7,,152327.091,281832.675,,27,,640490.18,,8298166.94,,0,0,,0,,,,,,,,,,,,,,1528,False,False,,,Zambia,,
10/P,,Copper King,PRIM,QL3853,1729C2,29,0,-27661.63,0,1945633.79,0,914.9,,173529.872,291538.135,,27,0,739913.73,0,8053732.52,0,0,0,,0,,0,,0.15,1.2,0.92,0.46,,,,,1991-06-16 00:00:00,,1729,False,False,SEC Signal,,Sanyati,,
10/Q,,Dutch Reformed,QUART,RK0870,1829B4,29,,-97533.65,,2028401.18,,1167.5,,182014.769,295521.618,,27,,808923.18,,7970176.77,,0,0,,0,,,,,,,,,,,,,,1829,False,False,Final,,Kadoma,,
10/S,,Makori,SEC,US0600,1731A1,31,,-18959.6,,1899848.92,,1418.1,,171040.796,311041.567,,33,,306235.61,,8100009.72,,0,0,,0,,,,0.15,1.2,1.075,0.617,,,,,1990-10-23 00:00:00,,1731,False,False,,,Mvurwi,,
100/NRS,,Mamobiro,SEC,PN5090,1528A4,29,,63746.92,,1709522.72,,1342.6,,152726.131,282421.689,,27,,650848.46,,8290755.75,,0,0,,0,,,,,,,,,,,,,,1528,False,False,,,Zambia,,
100/P,,Chinyamsese,PRIM,VP0469,1932A3,33,,95310.05,,2131550.89,,1193.9,,191609.736,320536.185,,33,,404728.07,,7869301.73,,0,0,,0,,,,0.15,1.2,0.93,0.475,,,,,1997-06-18 00:00:00,,1932,False,False,Pedestal name CHINAMSESE. SEC SIGNAL,,Mutare,,
